name,iso2,iso3,numericCode,phonecode,capital,currency,currencyName,currencySymbol,native,emoji,emojiU
"Mali","","","","223","","XOF","","","","",""
"Malta","","","","356","","EUR","","","","",""
"Man (Isle of)","","","","+44-1624","","GBP","","","","",""
"Marshall Islands","","","","692","","USD","","","","",""
"Martinique","","","","596","","EUR","","","","",""
"Mauritania","","","","222","","MRO","","","","",""
"Mauritius","","","","230","","MUR","","","","",""
"Mayotte","","","","262","","EUR","","","","",""
"Mexico","","","","52","","MXN","","","","",""
"Micronesia","","","","691","","USD","","","","",""
"Moldova","","","","373","","MDL","","","","",""
"Monaco","","","","377","","EUR","","","","",""
"Mongolia","","","","976","","MNT","","","","",""
"Montenegro","","","","382","","EUR","","","","",""
"Montserrat","","","","+1-664","","XCD","","","","",""
"Morocco","","","","212","","MAD","","","","",""
"Mozambique","","","","258","","MZN","","","","",""
"Myanmar","","","","95","","MMK","","","","",""
"Namibia","","","","264","","NAD","","","","",""
"Nauru","","","","674","","AUD","","","","",""
"Nepal","","","","977","","NPR","","","","",""
"Bonaire, Sint Eustatius and Saba","","","","599","","USD","","","","",""
"Netherlands","","","","31","","EUR","","","","",""
"New Caledonia","","","","687","","XPF","","","","",""
"New Zealand","","","","64","","NZD","","","","",""
"Nicaragua","","","","505","","NIO","","","","",""
"Niger","","","","227","","XOF","","","","",""
"Nigeria","","","","234","","NGN","","","","",""
"Niue","","","","683","","NZD","","","","",""
"Norfolk Island","","","","672","","AUD","","","","",""
"Northern Mariana Islands","","","","+1-670","","USD","","","","",""
"Norway","","","","47","","NOK","","","","",""
"Oman","","","","968","","OMR","","","","",""
"Pakistan","","","","92","","PKR","","","","",""
"Palau","","","","680","","USD","","","","",""
"Palestinian Territory Occupied","","","","970","","ILS","","","","",""
"Panama","","","","507","","PAB","","","","",""
"Papua new Guinea","","","","675","","PGK","","","","",""
"Paraguay","","","","595","","PYG","","","","",""
"Peru","","","","51","","PEN","","","","",""
"Philippines","","","","63","","PHP","","","","",""
"Pitcairn Island","","","","870","","NZD","","","","",""
"Poland","","","","48","","PLN","","","","",""
"Portugal","","","","351","","EUR","","","","",""
"Puerto Rico","","","","+1-787 and 1-939","","USD","","","","",""
"Qatar","","","","974","","QAR","","","","",""
"Reunion","","","","262","","EUR","","","","",""
"Romania","","","","40","","RON","","","","",""
"Russia","","","","7","","RUB","","","","",""
"Rwanda","","","","250","","RWF","","","","",""
"Saint Helena","","","","290","","SHP","","","","",""
"Saint Kitts And Nevis","","","","+1-869","","XCD","","","","",""
"Saint Lucia","","","","+1-758","","XCD","","","","",""
"Saint Pierre and Miquelon","","","","508","","EUR","","","","",""
"Saint Vincent And The Grenadines","","","","+1-784","","XCD","","","","",""
"Saint-Barthelemy","","","","590","","EUR","","","","",""
"Saint-Martin (French part)","","","","590","","EUR","","","","",""
"Samoa","","","","685","","WST","","","","",""
"San Marino","","","","378","","EUR","","","","",""
"Sao Tome and Principe","","","","239","","STD","","","","",""
"Saudi Arabia","","","","966","","SAR","","","","",""
"Senegal","","","","221","","XOF","","","","",""
"Serbia","","","","381","","RSD","","","","",""
"Seychelles","","","","248","","SCR","","","","",""
"Sierra Leone","","","","232","","SLL","","","","",""
"Singapore","","","","65","","SGD","","","","",""
"Slovakia","","","","421","","EUR","","","","",""
"Slovenia","","","","386","","EUR","","","","",""
"Solomon Islands","","","","677","","SBD","","","","",""
"Somalia","","","","252","","SOS","","","","",""
"South Africa","","","","27","","ZAR","","","","",""
"South Georgia","","","","500","","GBP","","","","",""
"South Sudan","","","","211","","SSP","","","","",""
"Spain","","","","34","","EUR","","","","",""
"Sri Lanka","","","","94","","LKR","","","","",""
"Sudan","","","","249","","SDG","","","","",""
"Suriname","","","","597","","SRD","","","","",""
"Svalbard And Jan Mayen Islands","","","","47","","NOK","","","","",""
"Swaziland","","","","268","","SZL","","","","",""
"Sweden","","","","46","","SEK","","","","",""
"Switzerland","","","","41","","CHF","","","","",""
"Syria","","","","963","","SYP","","","","",""
"Taiwan","","","","886","","TWD","","","","",""
"Tajikistan","","","","992","","TJS","","","","",""
"Tanzania","","","","255","","TZS","","","","",""
"Thailand","","","","66","","THB","","","","",""
"Togo","","","","228","","XOF","","","","",""
"Tokelau","","","","690","","NZD","","","","",""
"Tonga","","","","676","","TOP","","","","",""
"Trinidad And Tobago","","","","+1-868","","TTD","","","","",""
"Tunisia","","","","216","","TND","","","","",""
"Turkey","","","","90","","TRY","","","","",""
"Turkmenistan","","","","993","","TMT","","","","",""
"Turks And Caicos Islands","","","","+1-649","","USD","","","","",""
"Tuvalu","","","","688","","AUD","","","","",""
"Uganda","","","","256","","UGX","","","","",""
"Ukraine","","","","380","","UAH","","","","",""
"United Arab Emirates","","","","971","","AED","","","","",""
"United Kingdom","","","","44","","GBP","","","","",""
"United States","","","","1","","USD","","","","",""
"United States Minor Outlying Islands","","","","1","","USD","","","","",""
"Uruguay","","","","598","","UYU","","","","",""
"Uzbekistan","","","","998","","UZS","","","","",""
"Vanuatu","","","","678","","VUV","","","","",""
"Vatican City State (Holy See)","","","","379","","EUR","","","","",""
"Venezuela","","","","58","","VEF","","","","",""
"Vietnam","","","","84","","VND","","","","",""
"Virgin Islands (British)","","","","+1-284","","USD","","","","",""
"Virgin Islands (US)","","","","+1-340","","USD","","","","",""
"Wallis And Futuna Islands","","","","681","","XPF","","","","",""
"Western Sahara","","","","212","","MAD","","","","",""
"Yemen","","","","967","","YER","","","","",""
"Zambia","","","","260","","ZMW","","","","",""
"Zimbabwe","","","","263","","ZWL","","","","",""
"Kosovo","","","","383","","EUR","","","","",""
"Curaçao","","","","599","","ANG","","","","",""
"Sint Maarten (Dutch part)","","","","1721","","ANG","","","","",""
